[18:28:30.4974] cted! Chip ID: 0xA0
[18:28:30.4996] BNO055 initialized successfully!
[18:28:30.5010] roll,pitch,yaw,qw,qx,qy,qz,accx,accy,accz,gyrox,gyroy,gyroz,svm,state,z_v,lever_offx,lever_offy
[18:28:38.5534] -18.81,1.62,1.00,0.9864,-0.0125,0.1639,-0.0088,-3.07,-0.17,9.10,-0.12,-1.25,0.06,9.61,0,1.70,0.0647,0.0044
[18:28:38.6205] -18.81,1.62,1.00,0.9864,-0.0126,0.1637,-0.0088,-3.10,-0.22,9.14,-0.56,-0.81,0.00,9.65,0,1.70,0.0646,0.0044
[18:28:38.6893] -18.81,1.62,1.00,0.9864,-0.0123,0.1638,-0.0089,-3.14,-0.14,9.14,1.44,0.50,-0.06,9.67,0,1.70,0.0647,0.0043
[18:28:38.7595] -18.81,1.62,1.00,0.9864,-0.0124,0.1636,-0.0089,-3.15,-0.17,9.21,-0.94,-1.12,0.12,9.74,0,1.70,0.0646,0.0043
[18:28:38.8294] -18.75,1.69,1.00,0.9865,-0.0128,0.1635,-0.0088,-3.13,-0.25,9.19,0.25,-0.06,0.06,9.71,0,1.70,0.0646,0.0045
[18:28:38.8994] -18.75,1.69,1.00,0.9865,-0.0127,0.1635,-0.0088,-3.16,-0.16,9.12,-0.38,-0.88,0.12,9.65,0,1.70,0.0646,0.0044
[18:28:38.9663] -18.69,1.75,1.00,0.9865,-0.0134,0.1630,-0.0087,-3.17,-0.25,9.27,0.25,-0.38,-0.38,9.80,0,1.70,0.0644,0.0047
[18:28:39.0324] -18.69,1.75,1.00,0.9865,-0.0135,0.1628,-0.0087,-3.07,-0.26,9.19,-0.44,0.19,-0.19,9.69,0,1.70,0.0643,0.0048
[18:28:39.1015] -18.69,1.75,1.00,0.9865,-0.0134,0.1628,-0.0087,-3.21,-0.15,9.18,0.56,-0.69,0.31,9.73,0,1.70,0.0643,0.0047
[18:28:39.1694] -18.69,1.75,1.00,0.9866,-0.0137,0.1626,-0.0086,-3.22,-0.24,9.26,-0.62,-0.56,-0.12,9.81,0,1.70,0.0642,0.0048
[18:28:39.2374] -18.69,1.75,1.00,0.9866,-0.0137,0.1626,-0.0086,-3.25,-0.22,9.30,0.50,-0.19,-0.19,9.85,0,1.70,0.0642,0.0048
[18:28:39.3044] -18.62,1.75,1.00,0.9866,-0.0137,0.1624,-0.0086,-3.11,-0.22,9.25,-0.56,0.19,-0.44,9.76,0,1.70,0.0641,0.0048
[18:28:39.3743] -18.69,1.75,1.00,0.9866,-0.0134,0.1626,-0.0087,-3.12,-0.20,9.16,1.56,0.62,0.38,9.68,0,1.70,0.0642,0.0047
[18:28:39.4386] -18.69,1.75,1.00,0.9865,-0.0132,0.1630,-0.0086,-3.32,-0.22,9.34,-0.75,0.75,-0.38,9.91,0,1.70,0.0644,0.0047
[18:28:39.5054] -18.75,1.69,0.94,0.9865,-0.0129,0.1635,-0.0086,-3.34,-0.19,9.32,1.81,1.31,0.56,9.90,0,1.70,0.0646,0.0045
[18:28:39.5724] -18.81,1.62,0.94,0.9863,-0.0125,0.1641,-0.0085,-3.29,-0.13,9.19,1.56,1.50,0.31,9.76,0,1.70,0.0648,0.0044
[18:28:39.6395] -18.88,1.62,0.94,0.9863,-0.0123,0.1644,-0.0084,-3.17,-0.08,9.12,-0.19,-0.44,-0.25,9.66,0,1.70,0.0649,0.0043
[18:28:39.7064] -18.88,1.69,0.94,0.9863,-0.0128,0.1642,-0.0083,-3.03,-0.22,9.13,-0.19,-0.50,0.56,9.62,0,1.70,0.0648,0.0045
[18:28:39.7743] -18.88,1.62,0.94,0.9863,-0.0127,0.1645,-0.0084,-3.22,-0.14,9.19,0.00,0.75,0.12,9.74,0,1.70,0.0649,0.0045
[18:28:39.8444] -18.94,1.62,0.94,0.9861,-0.0126,0.1650,-0.0084,-3.18,-0.19,9.20,-0.38,1.00,-0.19,9.74,0,1.70,0.0651,0.0044
[18:28:39.9145] -19.00,1.62,0.94,0.9861,-0.0126,0.1655,-0.0084,-3.26,-0.15,9.22,-0.50,0.50,-0.31,9.78,0,1.70,0.0653,0.0044
[18:28:39.9835] -19.00,1.69,0.94,0.9861,-0.0129,0.1655,-0.0083,-3.18,-0.23,9.19,0.19,0.50,0.19,9.73,0,1.70,0.0653,0.0045
[18:28:40.0515] -19.12,1.62,0.94,0.9860,-0.0123,0.1663,-0.0084,-3.26,-0.10,9.13,1.06,1.44,0.12,9.70,0,1.70,0.0656,0.0043
[18:28:40.1186] -19.12,1.62,0.94,0.9860,-0.0126,0.1664,-0.0085,-3.31,-0.17,9.22,-0.88,-0.62,-0.88,9.80,0,1.70,0.0657,0.0044
